Series,Date,Value,Sector Code,Sector Description
abs,2015-01-01,1176941.0,p0,Overall
abs,2015-01-01,97539.0,p1,Agriculture
abs,2015-01-01,63852.0,p1.1,Crops
abs,2015-01-01,3348.0,p1.1.1,Rubber
abs,2015-01-01,37853.0,p1.1.2,Oil palm
abs,2015-01-01,2205.0,p1.1.3,Paddy
abs,2015-01-01,9541.0,p1.1.4,Vegetables
abs,2015-01-01,4155.0,p1.1.5,Fruits
abs,2015-01-01,5718.0,p1.1.6,Food crops
abs,2015-01-01,1032.0,p1.1.7,Other crops
abs,2015-01-01,12694.0,p1.2,Livestock
abs,2015-01-01,7683.0,p1.2.1,Poultry
abs,2015-01-01,1058.0,p1.2.2 ,Cattle
abs,2015-01-01,3953.0,p1.2.3,Other livestocks
abs,2015-01-01,8810.0,p1.3,Forestry and logging
abs,2015-01-01,12181.0,p1.4,Fishing
abs,2015-01-01,8007.0,p1.4.1,Marine fishing
abs,2015-01-01,4175.0,p1.4.2,Aquaculture
abs,2015-01-01,103059.0,p2,Mining and quarrying
abs,2015-01-01,46526.0,p2.1,Crude oil and condensate
abs,2015-01-01,49119.0,p2.2,Natural gas 
abs,2015-01-01,7414.0,p2.3,Other mining & quarrying and supporting services
abs,2015-01-01,262379.0,p3,Manufacturing
abs,2015-01-01,32738.0,p3.1,"Vegetable and animal oils & fats, food processing, beverages and tobacco products"
abs,2015-01-01,11713.0,p3.1.1,Vegetable and animal oils & fats
abs,2015-01-01,13428.0,p3.1.2,Food processing
abs,2015-01-01,4152.0,p3.1.3,Beverages
abs,2015-01-01,3445.0,p3.1.4,Tobacco products
abs,2015-01-01,4923.0,p3.2,"Textiles, wearing apparel and leather products"
abs,2015-01-01,4296.0,p3.2.1,Textile and wearing apparel
abs,2015-01-01,627.0,p3.2.2,Leather and related products
abs,2015-01-01,13858.0,p3.3,"Wood products, furniture, paper products and printing"
abs,2015-01-01,6471.0,p3.3.1,Wood products 
abs,2015-01-01,3895.0,p3.3.2,Paper and paper products
abs,2015-01-01,3492.0,p3.3.3,Printing and reproduction of recorded media 
abs,2015-01-01,78307.0,p3.4,"Petroleum, chemical, rubber and plastic products"
abs,2015-01-01,34341.0,p3.4.1,Refined petroleum products
abs,2015-01-01,28572.0,p3.4.2,Chemicals & chemical products and pharmaceutical products 
abs,2015-01-01,6415.0,p3.4.3,Rubber products
abs,2015-01-01,8979.0,p3.4.4,Plastics products
abs,2015-01-01,31572.0,p3.5,"Non-metallic mineral products, basic metal and fabricated metal products"
abs,2015-01-01,10321.0,p3.5.1,Non-metallic mineral products
abs,2015-01-01,7311.0,p3.5.2,Basic metals
abs,2015-01-01,13940.0,p3.5.3,Fabricated metal products
abs,2015-01-01,70245.0,p3.6,"Electrical, electronic and optical products"
abs,2015-01-01,8294.0,p3.6.1,Machinery and equipment
abs,2015-01-01,5388.0,p3.6.2,Computers and peripheral equipment
abs,2015-01-01,5294.0,p3.6.3,Electrical equipment
abs,2015-01-01,46698.0,p3.6.4,"Electronic components & boards, communication equipment and consumer electronics"
abs,2015-01-01,4571.0,p3.6.5,"Manufacture of medical, precision & optical instrument, watches and clocks"
abs,2015-01-01,30738.0,p3.7,"Transport equipment, other manufacturing and repair"
abs,2015-01-01,23066.0,p3.7.1,Motor vehicles and transport equipment
abs,2015-01-01,3927.0,p3.7.2,Furniture
abs,2015-01-01,3745.0,p3.7.3,Other manufacturing and repair & installation of machinery and equipment
abs,2015-01-01,55382.0,p4,Construction
abs,2015-01-01,30606.0,p4.1,Buildings
abs,2015-01-01,15246.0,p4.1.1,Residential buildings
abs,2015-01-01,15360.0,p4.1.2,Non-residential buildings
abs,2015-01-01,15373.0,p4.2,Civil engineering
abs,2015-01-01,9402.0,p4.3,Specialised construction activities
abs,2015-01-01,643883.0,p5,Services
abs,2015-01-01,136070.0,p5.1,"Utilities, transportation & storage and information & communication"
abs,2015-01-01,25774.0,p5.1.1,Electricity and gas
abs,2015-01-01,5936.0,p5.1.2,"Water, sewerage and waste management"
abs,2015-01-01,42057.0,p5.1.3,Transportation and storage
abs,2015-01-01,10246.0,p5.1.3.1,Land transport
abs,2015-01-01,6081.0,p5.1.3.2,Water transport
abs,2015-01-01,5734.0,p5.1.3.3,Air transport
abs,2015-01-01,5817.0,p5.1.3.4,Port and airport operation
abs,2015-01-01,6100.0,p5.1.3.5,Highway operation
abs,2015-01-01,6320.0,p5.1.3.6,Support activities for transportation
abs,2015-01-01,1759.0,p5.1.3.7,Postal and courier 
abs,2015-01-01,62303.0,p5.1.4,Information and communication
abs,2015-01-01,6646.0,p5.1.4.1,Publishing and broadcasting activities 
